Identification Methods,Sand Fly Species,Locality,Habitat,Blood Meal Source
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,farm fields,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,farm fields,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,farm fields,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog
ELISA,Phlebotomus orientalis,Adebay,farm fields,dog
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog
ELISA,Phlebotomus orientalis,Adebay,farm fields,dog
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog
ELISA,Phlebotomus orientalis,Adebay,farm fields,dog
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Humera town,farm fields,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + goat/sheep
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,dog + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,in village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,in village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,in village,donkey
ELISA,Phlebotomus orientalis,Adebay,in village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,donkey
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,donkey
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,donkey
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,donkey
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,donkey
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,donkey
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,donkey
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,in village,donkey
ELISA,Phlebotomus orientalis,Adebay,in village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,donkey
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,in village,donkey
ELISA,Phlebotomus orientalis,Adebay,in village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Humera town,farm fields,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Bereket,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Mykadra,in village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,in village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + cow + dog
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow + dog
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + dog
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,human + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,human + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,
ELISA,Phlebotomus orientalis,Mykadra,periphery of village,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Mykadra,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Bereket,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,in village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Rawyan,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,in village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,farm fields,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,cow + donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,dog + donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,domestic habitat,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,peridomestic,donkey
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,farm fields,donkey + goat/sheep
ELISA,Phlebotomus orientalis,Adebay,periphery of village,donkey + goat/sheep
